Song,Artist,Scene Description
Overdue,The Get Up Kids,Anna and Peyton talk in Anna's bedroom.
Skyline Drive,Mae,"Peyton and Jake talk, Karen talks to Andy."
Return to Me,Matthew Ryan,"Ending sequence. Felix gives Brooke back the necklace, Karen apologizes to Andy, Nathan helps Haley in the kitchen."
Whatcha Gonna Do,High City Miles,Lucas' alarm goes off.
Glad (Acoustic Version),Tyler Hilton,Taylor listens to Chris' song when Haley walks in
South,Mark Geary,Lucas and Anna take a walk at the Rivercourt.
Finding Out True Love Is Blind,Louis XIV,Taylor takes her shirt off in front of Nathan
Wreck of the Day,Anna Nalick,Nathan visits Haley in the cafe
Clear My Head,Ivy,"Haley is looking at Chris' website, Nathan comes home, they hug"
No Right Angles,Ben Lee,"Lucas and Anna talk in the park, Brooke is with Felix"
Be Mine,Tim Cullen,"Haley and Taylor talk, Keith tells Lucas he proposed to Jules"
Begin,Ben Lee,Ending song. Lucas tells his mom he took the test.
Trapped In,Division of Laura Lee,"Beginning of the episode. Felix takes pictures of Brooke, Dan and Lucas talk."
Alright,Pilate,Keith comes to Karen to talk about his engagement
Lost My Way,Face,Karen and Andy talk in the cafe. Lucas talks to Felix and Brooke.
Broken,dalton grant,Jake talks to Peyton at Tric. Haley says hi to Jake. Peyton talks to Chris.
When It Comes,Tyler Hilton,Chris performs at Tric.
The Good Kind,The Wreckers,Peyton introduces Michelle and Jessica and the band performs. Karen talks to Keith while Andy watches. Chris asks Haley to come with him on tour.
She Has No Time,Keane,End of the episode. Nathan smashes the keyboard and the wedding board.
Want you to come over,Jim McGorman,Lucas tells Karen his HCM test results and that he wants to move in with Dan.
Still You,John Doe,Nathan goes to talk to Peyton.
Get Through This,Low Five,Haley calls Lucas from a club on tour.
Alive With Pleasure,Viva Voce,Brooke finds out that she won the class president position.
Walk Into the Sun,Dirty Vegas,"End of the episode. Nathan sees the ""Sometimes they come back"" drawing."""
Where Happiness Lives,Magnet,"Jake asks Peyton out on a date, Karen and Andy walk together, Lucas gives Brooke a gift, then Felix arrives"
Genius,Inara George,"Brooke is at Peyton's room, Peyton asks her what to wear to a date with Jake"
I Predict A Riot,Kaiser Chiefs,Plays at Felix's party for Brooke
Club Foot,Kasabian,Nathan and Lucas drive away with the police chasing them
Do You Love What You Feel,Foreal People,Peyton and Jake on a date (this is incorrect)
Enjoy (Instrumental),Teen Machine,Mouth and Anna go to the high school to record over Anna's time capsule testimonial.
Flying High,Jem,Mouth watches Brooke´s speech in the time capsule tape. Lucas and Nathan in jail.
Deep,Citizen Cope,Peyton does her time capsule. Nathan talks to Lucas. Felix talks to Brooke.
Do You Feel Love,Peope People,Jake and Peyton hold hands and kiss on the boardwalk during their first date.
Looking For Love,Michelle Featherstone,Jake and Peyton are in her bedroom. Dan talks to Jules in a church.
You've Changed (Short Version),Bettie Serveert,End of the episode.
I'm Not the One,"Gigolo Aunts, Kid Lightning",Lucas runs into Keith at the church. Haley calls Nathan to tell him that she and Chris will be doing a television interview.
Cry,Wonderful Johnson,Andy and Karen talk in the cafe.
Broke the Furniture,Earlimart,Brooke and Peyton talk in Peyton's bedroom.
Sidewalks (Acoustic Version),Story of the Year,Jake and Peyton kiss; Everybody gets ready to go to the wedding.
Chariot,Gavin DeGraw,Before Nathan watches Haley on TV
Sleepers Awake,J.S. Bach,"Before Karen goes to talk to ""Jules""/Emily Chambers."
"Trumpet Concerto Opus 9, No 2, 2nd Movement",Albinoni,Karen and Deb walk down the aisle as bridesmaids
Wedding March (Traditional),Peter Lea-Cox,Everybody waiting for Jules to walk down the aisle
Now That You're Gone,Ryan Adams & The Cardinals,"Nathan burns Haley's pictures, Keith goes home, Dan celebrates"
to Jenny,Sorta,"As Nathan drives to go see Haley, he has a memory of himself and Haley in the shower"
sweet Little Bay,Sorta,"Lucas talks to Karen at the café, and mentions that he's not moving back home."
Just a Little Bit More,Madison Rose,"As Nathan drives to go see Haley, he calls his home phone and remembers the two of them recording answering machine messages"
Long Beach (It's a Miracle),Gus Black,"Karen, Andy, Peyton & Jake talk at the café about the custody of Jenny."
Back of the Church,Michelle Featherstone,"Peyton talks to Brooke about her moving, and tells her who defaced her locker. Brooke dumps Felix"
Lie In the Sound,Trespassers William,Nathan is driving; remembering all the good times he had with Haley
Chariot,Gavin DeGraw,Nathan is walking to Haley's dressing room
What Are You Afraid Of?,West Indian Girl,"At the end of episode:Brooke has a new home, Keith leaves town, and Nathan takes off his wedding ring"
Broken,dalton grant,"Taylor calls Nathan from her new job at a bar called the ""Swinging Donkey."""
Who's to Say,Vanessa Carlton,At the end of the episode
The Devil Went Down to Georgia,Charlie Daniels,Taylor dances on the bar with the other bartenders and Nathan joins them.
Girl Is on My Mind,The Black Keys,Nathan visits Taylor at the bar
I Got More Bills Than I Can Pay,Black Toast,Nathan and Taylor take shots (drink) at the bar.
New Light of Tomorrow,Husky Rescue,Whitey talks with Jake at Nathan's Apartment. Anna talks with Darby.
What's on your mind?,Black Toast,Nathan and Taylor talk and then head up to her apartment.
Sugar Pill,Ambulance LTD,Nathan and Taylor get ready to hook up - but don't.
Disarmed,The Belles,"Anna comes out to her parents. Jake tells Jenny he loves her, and Peyton that he's leaving."
Coming Clean,Tamara Bedricky,"Nathan and Taylor say goodbye, Nathan leaves"
Try and Understand,Montana Shane,Anna says goodbye to Lucas and they play one last game of H.O.R.S.E.
Abilene,Damien Jurado,"At the end, Daytona tells Lucas that Nathan aimed for the wall to crash the race car; Nathan in surgery."
Chemical Burns,Every Move a Picture,Add scene description
Sunshine and Cinnamon,Kid Lightning,Whitey and Peyton talk in her room about Jake
Irrelevant,Matthew Ryan,"Peyton is ripping the pages out from her address book and looks up at the drawing of ""People Always Leave"""
Like a Man Possessed,The Get Up Kids,Nathan crashes the race car
Sucker Train Blues,Velvet Revolver,"Daytona, Cooper and the Scott brothers start the race."
On the 54,The Dandelions,Add scene description
Sucker,Damien Jurado,"At the beginning, Lucas says the quote about ""Happiness"""
Son's Gonna Rise,Citizen Cope,"Deb, Karen, Brooke and Peyton dance at TRIC"
When The Stars Go Blue,"Schuyler Fisk as ""Daytona""",Daytona sings for Lucas and Nathan at a campfire in the middle of the racetrack.
Hard To Love a Man,Magnolia Electric Co.,Add scene description
Hands Down,Dashboard Confessional,Lucas and Peyton are in the Corvette. Lucas almost hits Nathan.
Holdin' On,Billy Livesay,Add scene description
Do You want to Party with me?,Bosshouse,Add scene description
Transform,Aeon Spoke,Add scene description
What It Is to Burn (New Version),Finch,Add scene description
Rest In Pieces,Saliva,When Nathan scores the last basket against Lucas at the river court.
Hold You In My Arms,Ray LaMontagne,"Dan leaves Nathan's hospital room. Deb hold Nathan's hand tighter. Brooke is piecing back the in shredded papers (in Lucas's closet). Karen calls Keith and talks to Whitey. Deb goes to Recovery Centre. Lucas, Brooke and Peyton leave Nathan's room after the end of visiting rooms. Nathan calls Haley."
Cats In Heat,The Honorary Title,Lucas goes to meet Peyton to inform her about helping Nathan out.
Something's Wrong,Walkie Talkie,Brooke and Peyton go shopping.
I Feel Naked Without My Cellphone,Two Hours Traffic,Everybody is talking about helping Nathan.
Scar,Missy Higgins,Nathan and Peyton talk
White Lght,Two Hours Traffic,People are arriving for the movie marathon.
Mixtape,Butch Walker,Lucas is thanking Brooke for helping him with the Dan stuff
Sunny Road,Emiliana Torrini,Karen is sending an email to Keith;Lucas and Brooke are talking at Tric
Lottery,Damien Jurado,Nathan calls Deb to check up on her
Walking With a Ghost,Tegan and Sara,Brooke talks to Peyton on the phone; Brooke sees what's in a box she knocked over.
Overcome,Better Than Ezra,"At the end of the episode As Karen sits lucas and brooke down to set some new rules, Brooke assures Lucas' mom they are just friends as Lucas walks away and silently cries as his heart is broken"
All I Want,Susie Suh,"Jake and Peyton reunite, then say goodbye."
Hear You Me,Jimmy Eat World,"Brooke,Lucas,Nathan,Haley, Mouth, and Peyton give the meaning of George Bernard Shaw's quote means to them and Jake leaves."
So Here We Are,Bloc Party,beginning of episode
Work,Jimmy Eat World,The first song played at Tric by Jimmy Eats World.
How Love Should Be,Tyler Hilton,"Chris on the bed, playing guitar, then talking with Brooke."
Polaris,Jimmy Eat World,Andy tells Dan he owns the company to his security system.
Can You Sleep,Courtney Jaye,Haley tells Lucas she is not coming back home and her life is different now.
Fight for Your Right to Party,Andrew Paul Woodworth,Beginning of the episode
The Good Kind,The Wreckers,Ellie comes to Peyton for an interview
Petrified to Be God-Like,Susie Suh,Deb goes and visits Nathan  for the first time since leaving rehab. Dan walks in and tells her Nathan is moving back in with them so they can be a family again.
Cracks In The Sky,Bosshouse,Peyton meets up with Ellie at Karen's Cafe
The Good Man,Husky Rescue,Add scene description
Be Yourself,Audioslave,"Karen leaves for New Zealand, Brooke packs her belongings, Peyton & Nate stare at the artwork on their walls."
Wires,Athlete,Lucas kisses Brooke
Lavinia,The Veils,End of the episode
Feeling a Moment,Feeder,Beginning of the episode during the dealership fire. Haley returns home to be with Nathan.
This Side Of Heaven,Matthew Ryan,Peyton and Lucas talk in Peyton's room.
The Rhythm of Your Breathing,Trembling Blue Stars,"Brooke and Lucas discuss their ""nonexclusive relationship""."
Nobody's Darlings,Lucero,"In a flashback from the beginning of the summer, in which Lucas and Peyton hang out in her room."
Light Years Away (Album Version),MoZella,Peyton and her father visit her mother's grave and talk about her real parents. Haley has a flashback to when she talked to Nathan the night before he left for camp.
Simple As It Should Be,Tristan Prettyman,Brooke and Mouth discuss Mouth's break-up and Brooke's nonexclusive relationship with Lucas.
Stars and Boulevards,Augustana,Peyton's father talks to her about her mother.
She's Adorable,Leif Karate,Deb and Karen reunite in the cafe.
Elsewhere,Bethany Joy Lenz,Haley is in the cafe and has a flashback to when she first sang to Nathan. Nathan scores at High Flyers. Haley visits Nathan in his bedroom and he says he stills loves her and he always will.
All Eternal Things,Trembling Blue Stars,Deb hands Dan divorce papers; Brooke asks Haley to move in; Luke tells Peyton that Ellie is back; Nathan reads Haley's letter while at High Flyers; Dan goes to church to confess.
Street Map,Athlete,Ending CODA/Peyton voiceover
Ride,Faraci,Lucas and Nathan battle on the Rivercourt.
Waiting for Sunday,Michelle Featherstone,Brooke and Lucas talk about their relationship while they put together the bonfire at the beach. Lucas visits Karen at the cafe.
In N' Out,Kingstreet,End of Summer beach party. Tim asks Brooke if they can start burning things for the bonfire.
You Light Up My Life,Debby Boone,Dan and Karen talk in the cafe.
Bela Lugosi's Dead,Bauhaus,Lucas tells peyton thay he saw ellie buying drugs.
We Are All On Drugs,Weezer,"Brooke tells Peyton to play more upbeat music. She does, then walks away. Everybody starts dancing."
"Sugar, We're Goin Down",Fall Out Boy,Lucas watches Brooke skinny dip with other people; Nathan throws Tim's guitar into the bonfire.
When the Stars Go Blue,"Bethany Joy Lenz, Tyler Hilton","At the beach party; Haley approaches Peyton, who proceeds to play this song out of spite."
Move Along,The All-American Rejects,"Lucas tell Brooke he's ""the guy for her"" while at the beach party."
Movin' On,Mya,Add scene description
Break Your Mama's Back,Slow Runner,After Keith's death; Beginning of the school party.
The Leavers Dance,The Veils,The beginning of the episode; Lucas is opening the prediction box and Haley comes to talk to him.
Illuminate,Radius,Add scene description
Bought and Sold,Christopher Jak,Add scene description
Moonlight On Snow,Trembling Blue Stars,Peyton talking on the bench by the traffic light with her dad.
This Is for Keeps,The Spill Canvas,Brooke orders Pizza with Lucas and Haley. Nathan and Haley go for a walk and Brooke teases Lucas.
Always Love,Nada Surf,The end of episode.
Invincible,OK Go,Lucas tries on costumes with Haley.
If I Handle You With Care,Trembling Blue Stars,Peyton and her dad talking in her room.
Trondheim,Tom Freund,Haley sees Lucas steal money from the cafe and Larry goes to talk to Ellie
More of the Shame,Buddy,"Peyton tying her shoes in the ""angel of death"" costume."
Bombs Away,Paris Texas,Brooke and Haley arrive at the halloween party and they come across Mouth
"Girls, Girls, Girls",Mötley Crüe,Nathan enters in a Batman costume.
She's a Sexy Thing,Andromeda,Karen ask Haley if she took money from the cafe.
I Wanna Move You,Erica C.,"Haley takes over the tray with glasses from Karen and fall down, Nathan comes in to rescue her, Mouth and Peyton talk"
